Multi MS Window Export

Acqusition Time: 20.12.2020 / 14:23:51
Number of Spectra: 896
Min Mass: 75.84294481179264 m/z
Max Mass: 76.03969244970524 m/z
Number of Accumulations: 30
Interscandelay: 100
Time Multiplicity: 2
Overflow Number: 0
Calibration-B: 0.575849041251
Time Step: 0.0016
comment:
14:38: MS 450 RT window adjusted from 9.97 to 9.975 because 76Rb went up

Clipped at MS105 when beam merging turned on.


Target:	MS "MS 1 - 896 t-res ni=1067.17"
m/z	->	N
75.93396905946412	10
75.93398576617008	10
75.93400247287786	11
75.93401917958748	17
75.93403588629894	12
75.93405259301222	15
75.93406929972736	13
75.93408600644432	10
75.93410271316314	17
75.9341194198838	24
75.93413612660626	18
75.9341528333306	17
75.93416954005676	19
75.93418624678474	23
75.93420295351458	42
75.93421966024626	31
75.93423636697976	50
75.93425307371512	50
75.93426978045232	49
75.93428648719134	77
75.93430319393218	73
75.9343199006749	95
75.93433660741944	93
75.9343533141658	151
75.93437002091402	169
75.93438672766408	270
75.93440343441598	336
75.9344201411697	424
75.93443684792526	508
75.93445355468266	742
75.9344702614419	823
75.934486968203	939
75.9345036749659	1054
75.93452038173066	1048
75.93453708849726	998
75.9345537952657	994
75.93457050203594	913
75.93458720880806	760
75.934603915582	642
75.93462062235778	537
75.93463732913542	406
75.93465403591488	302
75.93467074269618	245
75.9346874494793	166
75.93470415626426	138
75.93472086305108	118
75.93473756983974	80
75.93475427663022	73
75.93477098342254	66
75.9347876902167	47
75.9348043970127	37
75.93482110381052	46
75.9348378106102	33
75.93485451741172	24
75.93487122421508	22
75.93488793102026	20
75.9349046378273	16
75.93492134463616	11
75.93493805144686	22
75.93495475825938	14
75.93497146507376	14
75.93498817188998	14
75.93500487870804	14
75.93502158552794	14
75.93503829234966	4
75.93505499917324	5
75.93507170599864	10
75.93508841282588	4
75.93510511965496	6
75.93512182648588	4
75.93513853331864	6
75.93515524015324	7
75.93517194698968	5
75.93518865382794	1
75.93520536066806	3
75.93522206750998	2
75.93523877435376	3
75.9352554811994	3
75.93527218804686	3
75.93528889489616	0
75.9353056017473	2
75.93532230860026	5
75.93533901545506	0
75.93535572231172	2
75.9353724291702	1
75.93538913603052	2
75.9354058428927	1
75.9354225497567	0
75.93543925662254	1
75.93545596349022	0
75.93547267035972	0
75.93548937723106	3
75.93550608410426	1
75.9355227909793	0
75.93553949785616	0
75.93555620473488	0
75.93557291161542	1
75.9355896184978	0
75.935606325382	3
75.93562303226806	1
75.93563973915596	0
75.93565644604568	1
75.93567315293724	3
75.93568985983066	0
75.9357065667259	0
75.93572327362298	1
75.9357399805219	0
75.93575668742266	1
75.93577339432526	2
75.93579010122968	0
75.93580680813596	2
75.93582351504408	1
75.93584022195402	1
75.9358569288658	1
75.93587363577942	0
75.93589034269488	0
75.93590704961218	1
75.93592375653132	0
75.9359404634523	0
75.93595717037512	1
75.93597387729976	0
75.93599058422626	1
75.93600729115458	0
75.93602399808474	1
75.93604070501674	0
75.9360574119506	1
75.93607411888626	1
75.93609082582378	0
75.93610753276314	0
75.93612423970432	0
75.93614094664734	1
75.9361576535922	0
75.93617436053892	2
75.93619106748746	0
75.93620777443786	0
75.93622448139008	0
75.93624118834414	0
75.9362578953	0
75.93627460225774	0
75.93629130921732	0
