Filename: Z:\2020-12-20\2020-12-20_055 76Sr with beam merging _ RT100_T846 - clipped_MS100.tof
Analyze-time: Fri Feb 19 17:57:14 2021

Range: 61
Start Peak: 6179
Block size: 1
Block-Min: 0
Int-Max: 0
Peak mass: Rb85:-1e
Treshold: 0
Method: Median
a: 0.08554320834809824
t0: -0.174931057477
b: 0.575849041251
T: 800

Area1: 1 - 896

B Positions (center Block):
MS	B	Intensity	Peakposition (us)	Peakposition alt (u)	Peakposition corrected (u)
137	0.575849343471537	15	14545.733199999998	84.91133010005574	84.91124116583202
138	0.5758493990169528	11	14545.7346	84.91134644537102	84.91124116583202
139	0.5758493037962402	12	14545.732199999998	84.91131842483152	84.911241165832
140	0.5758492085755276	16	14545.7298	84.91129040429664	84.91124116583202
141	0.5758491133548148	10	14545.7274	84.91126238376638	84.91124116583202
142	0.5758491133548148	12	14545.7274	84.91126238376638	84.91124116583202
143	0.5758490498743398	12	14545.7258	84.91124370341544	84.91124116583198
144	0.5758488594329144	8	14545.721	84.91118766237494	84.91124116583202
145	0.5758487245369048	17	14545.7176	84.91114796664914	84.91124116583202
146	0.5758487562771424	13	14545.7184	84.9111573068191	84.91124116583202
147	0.5758487007317268	12	14545.716999999998	84.91114096152202	84.911241165832
148	0.5758487404070236	11	14545.717999999998	84.91115263673404	84.911241165832
149	0.5758489705237458	15	14545.7238	84.91122035297968	84.91124116583202
150	0.575848891173152	10	14545.7218	84.91119700254708	84.911241165832
151	0.575848684861608	13	14545.7166	84.91113629143744	84.91124116583202
152	0.5758490181341022	15	14545.724999999998	84.91123436324074	84.911241165832
153	0.5758489652337064	12	14545.723666666666	84.91121879628406	84.911241165832
154	0.5758491556751316	16	14545.728466666666	84.9112748373348	84.911241165832
155	0.5758490498743398	14	14545.7258	84.91124370341544	84.91124116583198
156	0.5758489546536272	14	14545.723399999998	84.91121568289288	84.911241165832
157	0.5758488435627956	17	14545.720599999998	84.91118299228908	84.91124116583198
158	0.575848891173152	14	14545.7218	84.91119700254708	84.911241165832
159	0.5758492085755276	11	14545.7298	84.91129040429664	84.91124116583202
160	0.5758492879261214	13	14545.7318	84.91131375474206	84.911241165832
161	0.57584917683529	14	14545.729	84.91128106411936	84.91124116583202
162	0.5758492085755276	14	14545.7298	84.91129040429664	84.91124116583202
163	0.5758491927054088	11	14545.7294	84.91128573420794	84.91124116583202
164	0.57584917683529	16	14545.729	84.91128106411936	84.91124116583202
165	0.5758493672767152	16	14545.7338	84.91133710519068	84.91124116583202
166	0.5758492244456464	13	14545.7302	84.91129507438548	84.91124116583202
167	0.575848996973944	7	14545.724466666666	84.91122813645792	84.91124116583202
168	0.5758488753030332	9	14545.721399999998	84.91119233246096	84.91124116583202
169	0.5758491450950524	7	14545.7282	84.91127172394262	84.91124116583202
170	0.5758485102903014	14	14545.7122	84.91108492051546	84.91124116583198
171	0.5758487007317268	11	14545.716999999998	84.91114096152202	84.911241165832
172	0.5758489334934688	12	14545.722866666666	84.91120945611072	84.91124116583202
173	0.575848542030539	8	14545.713	84.91109426068192	84.911241165832
174	0.5758486689914892	10	14545.716199999998	84.91113162135296	84.911241165832
175	0.5758488171125978	18	14545.719933333332	84.91117520881292	84.91124116583202
176	0.5758487324719642	10	14545.717799999998	84.91115030169156	84.911241165832
177	0.5758486689914892	14	14545.716199999998	84.91113162135296	84.911241165832
178	0.5758488435627956	13	14545.720599999998	84.91118299228908	84.91124116583198
179	0.575848827692677	13	14545.7202	84.91117832220334	84.91124116583202
180	0.5758490498743398	14	14545.7258	84.91124370341544	84.91124116583198
181	0.5758491450950524	9	14545.7282	84.91127172394262	84.91124116583202
182	0.575849240315765	15	14545.730599999998	84.91129974447442	84.91124116583202
183	0.5758494307571904	14	14545.7354	84.91135578555188	84.911241165832
184	0.5758489784588052	17	14545.724	84.9112226880231	84.91124116583204
185	0.5758487007317268	10	14545.716999999998	84.91114096152202	84.911241165832
186	0.5758487959524394	16	14545.7194	84.91116898203226	84.91124116583202
187	0.5758487324719642	12	14545.717799999998	84.91115030169156	84.911241165832
188	0.5758487324719642	6	14545.717799999998	84.91115030169156	84.911241165832
189	0.5758490657444586	17	14545.7262	84.91124837350298	84.91124116583202
190	0.5758486795715684	17	14545.716466666666	84.9111347347426	84.91124116583204
191	0.5758487769082968	19	14545.71892	84.91116337792984	84.911241165832
192	0.5758486372512516	14	14545.7154	84.91112228118444	84.91124116583198
193	0.5758487007317268	10	14545.716999999998	84.91114096152202	84.911241165832
194	0.5758489863938646	16	14545.724199999998	84.91122502306656	84.91124116583202
195	0.5758484468098262	5	14545.710599999998	84.91106624018402	84.91124116583204
196	0.5758485102903014	13	14545.7122	84.91108492051546	84.91124116583198
197	0.5758482881086384	20	14545.7066	84.91101953936448	84.91124116583204
198	0.5758485737707766	11	14545.7138	84.91110360084892	84.911241165832
199	0.5758487007317268	11	14545.716999999998	84.91114096152202	84.911241165832
200	0.5758490181341022	15	14545.724999999998	84.91123436324074	84.911241165832
201	0.5758491133548148	14	14545.7274	84.91126238376638	84.91124116583202
202	0.5758491927054088	9	14545.7294	84.91128573420794	84.91124116583202
203	0.5758493143763194	15	14545.732466666666	84.91132153822458	84.91124116583202
204	0.5758487853723602	11	14545.719133333332	84.91116586864198	84.91124116583202
205	0.5758489229133896	12	14545.7226	84.91120634271972	84.91124116583202
206	0.5758488594329144	8	14545.721	84.91118766237494	84.91124116583202
207	0.5758491450950524	12	14545.7282	84.91127172394262	84.91124116583202
208	0.5758493355364778	12	14545.733	84.91132776501084	84.91124116583198
209	0.5758494201771112	9	14545.735133333334	84.91135267215822	84.91124116583202
210	0.5758498433802786	16	14545.745799999998	84.91147720794984	84.91124116583198
211	0.5758497164193284	13	14545.7426	84.91143984720276	84.91124116583198
212	0.5758498962806744	12	14545.747133333332	84.91149277493022	84.91124116583202
213	0.5758499862113476	11	14545.749399999998	84.91151923880012	84.911241165832
214	0.575850033821704	9	14545.7506	84.91153324908586	84.91124116583198
215	0.5758494783675468	15	14545.7366	84.91136979582414	84.911241165832
216	0.5758496740990116	10	14545.741533333332	84.9114273936222	84.91124116583202
217	0.5758494942376654	16	14545.737	84.91137446591516	84.91124116583204
218	0.5758494307571904	14	14545.7354	84.91135578555188	84.911241165832
219	0.5758494942376654	11	14545.737	84.91137446591516	84.91124116583204
220	0.575849462497428	9	14545.7362	84.91136512573324	84.91124116583198
221	0.5758492720560026	11	14545.731399999998	84.9113090846527	84.911241165832
222	0.5758491927054088	17	14545.7294	84.91128573420794	84.91124116583202
223	0.5758491927054088	13	14545.7294	84.91128573420794	84.91124116583202
224	0.5758490181341022	8	14545.724999999998	84.91123436324074	84.911241165832
225	0.5758493037962402	11	14545.732199999998	84.91131842483152	84.911241165832
226	0.575849525977903	11	14545.737799999998	84.91138380609756	84.91124116583202
227	0.575849525977903	7	14545.737799999998	84.91138380609756	84.91124116583202
228	0.5758497164193284	11	14545.7426	84.91143984720276	84.91124116583198
229	0.575849811640041	8	14545.744999999998	84.9114678677623	84.91124116583202
230	0.5758500020814664	6	14545.7498	84.91152390889524	84.911241165832
231	0.5758499227308724	9	14545.7478	84.91150055842094	84.911241165832
232	0.5758497798998036	8	14545.7442	84.91145852757526	84.911241165832
233	0.5758499386009912	16	14545.7482	84.91150522851554	84.91124116583202
234	0.5758499386009912	12	14545.7482	84.91150522851554	84.91124116583202
235	0.5758498857005954	12	14545.746866666666	84.91148966153402	84.91124116583202
236	0.5758499703412288	9	14545.749	84.91151456870514	84.911241165832
237	0.5758500020814664	12	14545.7498	84.91152390889524	84.911241165832
238	0.575850097302179	12	14545.752199999998	84.91155192946864	84.91124116583198
239	0.5758504305746732	13	14545.7606	84.911650001512	84.91124116583202
240	0.575850097302179	8	14545.752199999998	84.91155192946864	84.91124116583198
241	0.5758497798998036	9	14545.7442	84.91145852757526	84.911241165832
242	0.5758497798998036	15	14545.7442	84.91145852757526	84.911241165832
243	0.5758500655619414	6	14545.7514	84.911542589277	84.91124116583202
244	0.5758502718734856	21	14545.756599999998	84.9116033005319	84.911241165832
245	0.5758502718734856	13	14545.756599999998	84.9116033005319	84.911241165832
246	0.5758506686264548	18	14545.7666	84.91172005300618	84.911241165832
247	0.5758508908081178	11	14545.7722	84.91178543442686	84.91124116583202
248	0.5758507479770488	15	14545.7686	84.91174340351068	84.91124116583204
249	0.5758505734057422	20	14545.7642	84.91169203240504	84.91124116583202
250	0.5758502877436042	11	14545.757	84.91160797062934	84.911241165832
251	0.5758504147045544	11	14545.760199999998	84.91164533141342	84.91124116583202
252	0.575850097302179	11	14545.752199999998	84.91155192946864	84.91124116583198
253	0.5758502560033668	14	14545.7562	84.91159863043462	84.91124116583202
254	0.5758502877436042	15	14545.757	84.91160797062934	84.911241165832
255	0.575850446444792	14	14545.760999999998	84.9116546716107	84.91124116583202
256	0.575850446444792	20	14545.760999999998	84.9116546716107	84.91124116583202
257	0.5758499957334188	17	14545.74964	84.91152204085718	84.91124116583202
258	0.5758499068607538	9	14545.7474	84.91149588832648	84.91124116583202
259	0.5758500549818622	15	14545.751133333334	84.91153947587992	84.91124116583204
260	0.5758501449125354	11	14545.7534	84.9115659397571	84.911241165832
261	0.5758503512240794	7	14545.7586	84.91162665102036	84.91124116583202
262	0.5758501607826542	9	14545.753799999998	84.91157060985348	84.911241165832
263	0.575850097302179	9	14545.752199999998	84.91155192946864	84.91124116583198
264	0.575850446444792	10	14545.760999999998	84.9116546716107	84.91124116583202
265	0.57585073210693	8	14545.768199999998	84.91173873340952	84.911241165832
266	0.5758509384184742	13	14545.7734	84.91179944473456	84.911241165832
267	0.5758510495093056	13	14545.7762	84.91183213545706	84.91124116583202
268	0.5758506051459798	10	14545.765	84.9117013726049	84.911241165832
269	0.5758506263061382	10	14545.765533333334	84.91170759940512	84.91124116583202
270	0.5758508908081178	10	14545.7722	84.91178543442686	84.91124116583202
271	0.5758506368862174	10	14545.7658	84.9117107128053	84.91124116583202
272	0.5758506368862174	12	14545.7658	84.9117107128053	84.91124116583202
273	0.5758505416655048	19	14545.7634	84.9116826922057	84.91124116583198
274	0.575850033821704	10	14545.7506	84.91153324908586	84.91124116583198
275	0.575849875120516	19	14545.746599999998	84.91148654813788	84.91124116583202
276	0.5758497164193284	13	14545.7426	84.91143984720276	84.91124116583198
277	0.5758499703412288	14	14545.749	84.91151456870514	84.911241165832
278	0.5758502242631292	11	14545.7554	84.9115892902404	84.91124116583202
279	0.5758502718734856	11	14545.756599999998	84.9116033005319	84.911241165832
280	0.5758501131722978	7	14545.7526	84.91155659956468	84.91124116583202
281	0.5758502877436042	11	14545.757	84.91160797062934	84.911241165832
282	0.5758504781850296	10	14545.7618	84.91166401180854	84.91124116583202
283	0.5758506686264548	11	14545.7666	84.91172005300618	84.911241165832
284	0.5758505945659006	14	14545.764733333334	84.91169825920492	84.91124116583202
285	0.5758506844965736	11	14545.767	84.91172472310684	84.91124116583202
286	0.5758505099252672	16	14545.7626	84.91167335200686	84.91124116583202
287	0.5758507955874052	14	14545.7698	84.91175741381494	84.91124116583198
288	0.575850589275861	11	14545.764599999998	84.9116967025049	84.91124116583198
289	0.5758507955874052	10	14545.7698	84.91175741381494	84.91124116583198
